ingredient_code,ingredient_name,ingredient_slug,description
ING000001,Cao su thiên nhiên,cao-su-thien-nhien,
ING000002,Cao su tinh chế,cao-su-tinh-che,
ING000003,Chất bôi trơn,chat-boi-tron, 
ING000004,Polyurethane,polyurethane,
ING000005,Nước (aqua),nuoc-aqua,
ING000006,Glycerin,glycerin,
ING000007,hydroxyethylcellulose,hydroxyethylcellulose,
ING000008,Gluconolactone,gluconolactone,
ING000009,Chlorhexidine digluconate,chlorhexidine-digluconate,
ING000010,Methyl paraben,methyl-paraben,
ING000011,Natri hydroxide,natri-hydroxide,
ING000012,Medevice 3s joint venture,medevice-3s-joint-venture,
ING000013,Aloe vera,aloe-vera,
ING000014,Sodium hydroxide,sodium-hydroxide,
ING000015,Acid benzoic,acid-benzoic,
ING000016,Propylene glycol,propylene-glycol,
ING000017,Nước tinh khiết,nuoc-tinh-khiet,
ING000018,Citric Acid,citric-acid,
ING000019,Hydroxyethyl cellulose,hydroxyethyl-cellulose,
ING000020,Xanthan gum,xanthan-gum,
ING000021,Mủ cao su thiên nhiên,mu-cao-su-thien-nhien,
ING000022,Chất bôi trơn silicon,chat-boi-tron-silicon,
ING000023,Aqua,aqua,
ING000024,Carbomer,carbomer,
ING000025,Benzoic Acid,benzoic-acid,
ING000026,Tỳ bà diệp,ty-ba-diep,150mg
ING000027,kha tử,kha-tu,75mg
ING000028,Bách bộ,bach-bo,75mg
ING000029,Trần bì,tran-bi,75mg
ING000030,Thiên môn,thien-mon,60mg
ING000031,Cam Thảo Bắc,cam-thao-bac,60mg
ING000032,Xuyên bối mẫu,xuyen-boi-mau,40mg
ING000033,Sâm đại hành,sam-dai-hanh,40mg
ING000034,Menthol,menthol,5mg
ING000035,Nước ion hóa,nuoc-ion-hoa,
ING000036,Cúc hoa,cuc-hoa,
ING000037,Actiso,actiso,
ING000038,Rau đắng đất,rau-dang-dat,
ING000039,Arginine,arginine,
ING000040,Ô Long,o-long,
ING000041,Isomalt,isomalt,
ING000042,Đường mía,duong-mia,
ING000043,Năng lượng,nang-luong,
ING000044,Carbohydrate,carbohydrate,
ING000045,Protein,protein,
ING000046,Lipid,lipid,
ING000047,Natri clorid,natri-clorid,
ING000048,Kali clorid,kali-clorid,
ING000049,Magie citrate,magie-citrate,
ING000050,Kẽm Gluconat,kem-gluconat,
ING000051,Glucose,glucose,
ING000052,Vitamin C,vitamin-c,
ING000053,L-Carnitine,l-carnitine,
ING000054,Nước,nuoc,
ING000055,Yến sào chưng sẵn,yen-sao-chung-san,
ING000056,Sucrose,sucrose,
ING000057,Đường phèn,duong-phen,
ING000058,Canxi lactat,canxi-lactat,
ING000059,Đông trùng hạ thảo,dong-trung-ha-thao,11.2mg/ml
ING000060,Chất ổn định,chat-on-dinh,
ING000061,Collagen peptide,collagen-peptide,
ING000062,Collagen type II,collagen-type-ii,
ING000063,Hương tổng hợp,huong-tong-hop,
ING000064,Chất bảo quản,chat-bao-quan,
ING000065,Vitamin K2,vitamin-k2,
ING000066,đạm sữa thủy phân lactium,dam-sua-thuy-phan-lactium,
ING000067,Chất tạo ngọt tự nhiên,chat-tao-ngot-tu-nhien,
ING000068,Bí đao (Hạt và Vỏ),bi-dao-hat-va-vo,
ING000069,chiết xuất atiso,chiet-xuat-atiso,
ING000070,Chiết xuất hoa Cúc,chiet-xuat-hoa-cuc,
ING000071,Rau má,rau-ma,
ING000072,Mía lau,mia-lau,
ING000073,Hạt chia,hat-chia,
ING000074,Tổng chất rắn hòa tan (TDS),tong-chat-ran-hoa-tan-tds,
ING000075,Sodium (Na+),sodium-na,
ING000076,Bicarbonate,bicarbonate,
ING000077,Potassium (K+),potassium-k,
ING000078,Magnesium,magnesium,
ING000079,Iodide,iodide,
