manufacturer_code,manufacturer_name,manufacturer_slug
MFR000001,"Okamoto Rubber Products Co., Ltd",okamoto-rubber-products-co-ltd
MFR000002,"SAGAMI RUBBER IND,.CO,. LTD",sagami-rubber-indco-ltd
MFR000003,CAO SU VIỆT NAM,cao-su-viet-nam
MFR000004,OKAMOTO INDUSTRIES LTD.,okamoto-industries-ltd
MFR000005,RECKITT BENCKISER HEALTHCARE MANUFACTURING,reckitt-benckiser-healthcare-manufacturing
MFR000006,SSL MANUFACTURING (THAILAND) LTD,ssl-manufacturing-thailand-ltd
MFR000007,OK,ok
MFR000008,DUREX,durex
MFR000009,"RECKITT BENCKISER HEALTHCARE MANUFACTURING (THAILAND)., LTD",reckitt-benckiser-healthcare-manufacturing-thailand-ltd
MFR000010,CHI NHÁNH CÔNG TY TNHH ADC TẠI Ô MÔN,chi-nhanh-cong-ty-tnhh-adc-tai-o-mon
MFR000011,ALKARI,alkari
MFR000012,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI VINH THỊNH VƯỢNG,cong-ty-tnhh-san-xuat-va-thuong-mai-vinh-thinh-vuong
MFR000013,CÔNG TY CỔ PHẦN DINH DƯỠNG Y HỌC QUỐC TẾ,cong-ty-co-phan-dinh-duong-y-hoc-quoc-te
MFR000014,CÔNG TY CỔ PHẦN THỰC PHẨM DINH DƯỠNG ĐÀ LẠT,cong-ty-co-phan-thuc-pham-dinh-duong-da-lat
MFR000015,Ladophar,ladophar
MFR000016,CÔNG TY CỔ PHẦN ONG MẬT TIỀN GIANG,cong-ty-co-phan-ong-mat-tien-giang
MFR000017,CÔNG TY CP THỰC PHẨM DINH DƯỠNG NUTRINEST,cong-ty-cp-thuc-pham-dinh-duong-nutrinest
MFR000018,CÔNG TY TNHH MTV VIETNAT,cong-ty-tnhh-mtv-vietnat
MFR000019,CÔNG TY TNHH ZEMLYA,cong-ty-tnhh-zemlya
MFR000020,KYONGBUK COLLEGE OF SCIENCE FOOD FACTORY,kyongbuk-college-of-science-food-factory
MFR000021,Bezut,bezut
MFR000022,SANKO MACHINERY,sanko-machinery
MFR000023,CÔNG TY CP DINH DƯỠNG Y HỌC QUỐC TẾ,cong-ty-cp-dinh-duong-y-hoc-quoc-te
MFR000024,Geumsan Mall,geumsan-mall
MFR000025,"Bogoshinyak Co.,Ltd",bogoshinyak-coltd
MFR000026,CÔNG TY TNHH DUY ANH BEE,cong-ty-tnhh-duy-anh-bee
MFR000027,"Kolmar BNH Co., Ltd",kolmar-bnh-co-ltd
MFR000028,CÔNG TY CỔ PHẦN DƯỢC PHẨM PHARVINA,cong-ty-co-phan-duoc-pham-pharvina
