product_code,ingredient_code,strength_value,strength_unit
P000001,ING000001,,
P000002,ING000002,,
P000003,ING000002,,
P000004,ING000003,,
P000004,ING000001,,
P000005,ING000003,,
P000005,ING000001,,
P000006,ING000003,,
P000006,ING000001,,
P000007,ING000001,,
P000008,ING000001,,
P000009,ING000004,,
P000010,ING000003,,
P000010,ING000001,,
P000011,ING000003,,
P000011,ING000001,,
P000012,ING000002,,
P000013,ING000001,,
P000014,ING000001,,
P000015,ING000001,,
P000016,ING000001,,
P000017,ING000001,,
P000018,ING000001,,
P000019,ING000001,,
P000020,ING000003,,
P000020,ING000001,,
P000021,ING000003,,
P000021,ING000001,,
P000022,ING000003,,
P000022,ING000001,,
P000023,ING000003,,
P000023,ING000002,,
P000024,ING000005,,
P000024,ING000006,,
P000024,ING000007,,
P000024,ING000008,,
P000024,ING000009,,
P000024,ING000010,,
P000024,ING000011,,
P000025,ING000001,,
P000026,ING000001,,
P000026,ING000012,,
P000027,ING000001,,
P000028,ING000003,,
P000028,ING000001,,
P000029,ING000013,,
P000029,ING000014,,
P000029,ING000015,,
P000029,ING000016,,
P000029,ING000017,,
P000029,ING000006,,
P000029,ING000018,,
P000029,ING000019,,
P000029,ING000020,,
P000030,ING000001,,
P000031,ING000001,,
P000032,ING000001,,
P000033,ING000001,,
P000034,ING000001,,
P000035,ING000001,,
P000036,ING000001,,
P000037,ING000021,,
P000037,ING000022,,
P000038,ING000001,,
P000039,ING000001,,
P000040,ING000001,,
P000041,ING000023,,
P000041,ING000016,,
P000041,ING000020,,
P000041,ING000024,,
P000041,ING000025,,
P000041,ING000014,,
P000042,ING000026,,
P000042,ING000027,,
P000042,ING000028,,
P000042,ING000029,,
P000042,ING000030,,
P000042,ING000031,,
P000042,ING000032,,
P000042,ING000033,,
P000042,ING000034,,
P000043,ING000035,,
P000043,ING000036,,
P000043,ING000037,,
P000043,ING000038,,
P000043,ING000039,,
P000043,ING000040,,
P000043,ING000041,,
P000044,ING000035,,
P000044,ING000036,,
P000044,ING000037,,
P000044,ING000038,,
P000044,ING000039,,
P000044,ING000040,,
P000044,ING000042,,
P000045,ING000043,,
P000045,ING000044,,
P000045,ING000045,,
P000045,ING000046,,
P000045,ING000047,,
P000045,ING000048,,
P000045,ING000049,,
P000045,ING000050,,
P000045,ING000051,,
P000045,ING000052,,
P000045,ING000053,,
P000046,ING000054,,
P000046,ING000055,,
P000046,ING000056,,
P000046,ING000057,,
P000046,ING000058,,
P000046,ING000059,,
P000046,ING000060,,
P000046,ING000061,,
P000046,ING000062,,
P000046,ING000063,,
P000046,ING000064,,
P000046,ING000065,,
P000047,ING000054,,
P000047,ING000055,,
P000047,ING000056,,
P000047,ING000058,,
P000047,ING000060,,
P000047,ING000059,,
P000047,ING000063,,
P000047,ING000061,,
P000047,ING000066,,
P000047,ING000067,,
P000048,ING000068,,
P000048,ING000069,,
P000048,ING000070,,
P000048,ING000071,,
P000048,ING000072,,
P000048,ING000073,,
P000049,ING000074,,
P000049,ING000075,,
P000049,ING000076,,
P000049,ING000077,,
P000049,ING000078,,
P000049,ING000079,,
P000049,ING000080,,
P000050,ING000081,,
P000050,ING000082,,
P000050,ING000083,,
P000051,ING000084,,
P000051,ING000085,,
P000051,ING000086,,
P000052,ING000087,,
P000053,ING000088,,
P000053,ING000035,,
P000053,ING000047,,
P000053,ING000048,,
P000053,ING000053,,
P000053,ING000089,,
P000053,ING000090,,
P000053,ING000050,,
P000053,ING000091,,
P000053,ING000092,,
P000053,ING000051,,
P000053,ING000093,,
P000053,ING000017,,
P000053,ING000052,,
P000054,ING000088,,
P000054,ING000035,,
P000054,ING000047,,
P000054,ING000048,,
P000054,ING000053,,
P000054,ING000089,,
P000054,ING000090,,
P000054,ING000050,,
P000054,ING000091,,
P000054,ING000092,,
P000054,ING000051,,
P000054,ING000094,,
P000054,ING000017,,
P000054,ING000052,,
P000055,ING000088,,
P000055,ING000035,,
P000055,ING000047,,
P000055,ING000048,,
P000055,ING000053,,
P000055,ING000089,,
P000055,ING000090,,
P000055,ING000050,,
P000055,ING000095,,
P000055,ING000092,,
P000055,ING000051,,
P000055,ING000096,,
P000055,ING000017,,
P000055,ING000052,,
P000056,ING000081,,
P000057,ING000005,,
P000057,ING000097,,
P000057,ING000057,,
P000057,ING000098,,
P000057,ING000099,,
P000057,ING000060,,
P000057,ING000100,,
P000057,ING000101,,
P000058,ING000102,,
P000058,ING000103,,
P000058,ING000104,,
P000058,ING000105,,
P000058,ING000106,,
P000058,ING000107,,
P000058,ING000041,,
P000058,ING000108,,
P000059,ING000109,,
P000059,ING000110,,
P000059,ING000111,,
P000059,ING000072,,
P000059,ING000112,,
P000059,ING000113,,
P000060,ING000086,,
P000061,ING000114,,
P000061,ING000115,,
P000061,ING000116,,
P000061,ING000117,,
P000061,ING000118,,
P000061,ING000119,,
P000061,ING000120,,
P000061,ING000121,,
P000061,ING000122,,
P000062,ING000123,,
P000062,ING000060,,
P000062,ING000098,,
P000062,ING000057,,
P000062,ING000124,,
P000062,ING000073,,
P000062,ING000125,,
P000062,ING000005,,
P000063,ING000123,,
P000063,ING000060,,
P000063,ING000098,,
P000063,ING000057,,
P000063,ING000124,,
P000063,ING000126,,
P000063,ING000125,,
P000063,ING000005,,
P000064,ING000127,,
P000064,ING000128,,
P000064,ING000106,,
P000064,ING000107,,
P000064,ING000129,,
P000064,ING000130,,
P000064,ING000108,,
P000065,ING000131,,
P000065,ING000132,,
P000065,ING000133,,
P000066,ING000134,,
P000066,ING000062,,
P000066,ING000065,,
P000066,ING000135,,
P000067,ING000110,,
P000067,ING000136,,
P000068,ING000055,,
P000068,ING000066,,
P000068,ING000137,,
P000068,ING000054,,
P000068,ING000057,,
P000068,ING000056,,
P000068,ING000138,,
P000068,ING000060,,
P000068,ING000063,,
P000068,ING000064,,
P000069,ING000139,,
P000070,ING000055,,
P000070,ING000140,,
P000070,ING000141,,
P000070,ING000142,,
P000070,ING000054,,
P000070,ING000057,,
P000070,ING000056,,
P000070,ING000138,,
P000070,ING000060,,
P000070,ING000143,,
P000070,ING000144,,
P000070,ING000064,,
P000071,ING000055,,
P000071,ING000145,,
P000071,ING000065,,
P000071,ING000142,,
P000071,ING000054,,
P000071,ING000057,,
P000071,ING000056,,
P000071,ING000058,,
P000071,ING000060,,
P000071,ING000146,,
P000071,ING000096,,
P000071,ING000064,,
P000071,ING000061,,
P000071,ING000147,,
P000071,ING000148,,
P000071,ING000020,,
P000071,ING000149,,
P000071,ING000150,,
P000071,ING000151,,
P000072,ING000054,,
P000072,ING000125,,
P000072,ING000152,,
P000072,ING000153,,
P000072,ING000064,,
P000072,ING000154,,
P000072,ING000155,,
P000072,ING000113,,
P000072,ING000156,,
P000072,ING000157,,
P000072,ING000158,,
P000073,ING000159,,
P000073,ING000121,,
P000074,ING000017,,
P000074,ING000160,,
P000074,ING000099,,
P000074,ING000161,,
P000074,ING000018,,
P000074,ING000162,,
P000074,ING000163,,
P000074,ING000164,,
P000074,ING000113,,
P000074,ING000165,,
P000074,ING000166,,
P000074,ING000167,,
P000074,ING000168,,
P000074,ING000169,,
P000075,ING000017,,
P000075,ING000067,,
P000075,ING000170,,
P000075,ING000153,,
P000075,ING000171,,
P000075,ING000172,,
P000075,ING000173,,
P000075,ING000174,,
P000075,ING000175,,
P000075,ING000176,,
P000075,ING000177,,
P000075,ING000178,,
P000075,ING000060,,
P000075,ING000179,,
P000075,ING000090,,
P000076,ING000084,,
P000077,ING000084,,
P000077,ING000121,,
P000077,ING000180,,
P000078,ING000084,,
P000078,ING000181,,
P000078,ING000182,,
P000079,ING000183,,
P000079,ING000184,,
P000080,ING000185,,
P000081,ING000186,,
P000082,ING000017,,
P000082,ING000187,,
P000082,ING000188,,
P000082,ING000189,,
P000082,ING000190,,
P000082,ING000170,,
P000083,ING000054,,
P000083,ING000191,,
P000083,ING000192,,
P000083,ING000058,,
P000083,ING000060,,
P000083,ING000041,,
P000083,ING000061,,
P000083,ING000063,,
P000083,ING000073,,
P000083,ING000067,,
P000083,ING000193,,
P000084,ING000054,,
P000084,ING000097,,
P000084,ING000194,,
P000084,ING000195,,
P000084,ING000196,,
P000084,ING000197,,
P000084,ING000098,,
P000084,ING000153,,
P000084,ING000198,,
P000084,ING000199,,
P000085,ING000200,,
P000085,ING000201,,
P000085,ING000136,,
P000085,ING000050,,
P000086,ING000202,,
P000086,ING000121,,
P000086,ING000136,,
P000086,ING000174,,
P000086,ING000050,,
P000087,ING000203,,
P000087,ING000204,,
P000087,ING000205,,
P000087,ING000136,,
P000087,ING000206,,
P000087,ING000207,,
P000087,ING000174,,
P000087,ING000122,,
P000088,ING000121,,
P000088,ING000159,,
P000088,ING000136,,
P000088,ING000174,,
P000089,ING000208,,
P000089,ING000041,,
P000089,ING000209,,
P000089,ING000135,,
P000089,ING000210,,
P000089,ING000054,,
P000089,ING000192,,
P000089,ING000138,,
P000089,ING000060,,
P000089,ING000063,,
P000089,ING000064,,
P000090,ING000055,,
P000090,ING000140,,
P000090,ING000141,,
P000090,ING000142,,
P000090,ING000054,,
P000090,ING000057,,
P000090,ING000211,,
P000090,ING000138,,
P000090,ING000060,,
P000090,ING000212,,
P000090,ING000093,,
P000090,ING000064,,
P000091,ING000055,,
P000091,ING000213,,
P000091,ING000141,,
P000091,ING000142,,
P000091,ING000054,,
P000091,ING000057,,
P000091,ING000056,,
P000091,ING000138,,
P000091,ING000060,,
P000091,ING000063,,
P000091,ING000064,,
P000092,ING000123,,
P000092,ING000060,,
P000092,ING000098,,
P000092,ING000057,,
P000092,ING000073,,
P000092,ING000214,,
P000092,ING000215,,
P000092,ING000216,,
P000092,ING000217,,
P000092,ING000218,,
