product_code,registration_number,dosage_form_code,requires_prescription,shelf_life_months,temperature_condition,light_condition,humidity_condition
P000942,220004154/PCBB-HCM,,false,,,,
P001120,170000008/PCBPL-BYT,,false,24,,,
P001412,893100431024,DF000026,false,36,,,
P001413,VD-18693-13,DF000027,false,36,,,
P001414,560100206923,DF000007,false,36,,,
P001415,893100607524,DF000026,false,36,,,
P001416,893100165025,DF000028,false,36,,,
P001417,VN-16500-13,DF000007,false,36,,,
P001418,VD-18522-13,DF000026,false,60,,,
P001419,893100477924,DF000029,false,36,,,
P001420,VD-16585-12,DF000030,false,36,,,
P001421,893100253000,DF000029,false,36,,,
P001422,484100012525,DF000031,false,36,,,
P001423,VD-35220-21,DF000004,false,36,,,
P001424,893100209700,DF000011,false,36,,,
P001425,893100074000,DF000032,false,36,,,
P001426,VD-22783-15,DF000026,false,36,,,
P001427,893100343724,DF000011,false,36,,,
P001428,893100058624,DF000013,false,36,,,
P001429,400110351824,DF000033,true,36,,,
P001430,893110136025,DF000034,true,24,,,
P001431,893110252823,DF000033,true,24,,,
P001432,VN-21116-18,DF000026,true,2,,,
P001433,893115324823,DF000026,true,36,,,
P001434,VD-34739-20,DF000028,true,24,,,
P001435,VN-20863-17,DF000026,true,24,,,
P001436,VD-20203-13,DF000035,true,36,,,
P001437,VD-4760-08,DF000026,true,36,,,
P001438,VD-35546-22,DF000026,true,24,,,
P001439,893110674024,DF000007,true,36,,,
P001440,893110394324,DF000026,true,36,,,
P001441,VD-10875-10,DF000036,true,24,,,
P001442,893110359423,DF000033,true,36,,,
P001443,893110271523,DF000026,true,36,,,
P001444,893110052000,DF000007,true,36,,,
P001445,VD-25779-16,DF000028,true,36,,,
P001446,893110379124,DF000026,true,36,,,
P001447,893115255923,DF000026,true,36,,,
P001448,893110359223,DF000026,true,36,,,
P001449,VD-20723-14,DF000033,true,36,,,
P001450,893110063324,DF000037,true,24,,,
P001451,893110156024,DF000038,true,24,,,
P001452,893110487424,DF000026,true,24,,,
P001453,VD-22223-15,DF000028,true,24,,,
P001454,893110135625,DF000038,true,24,,,
P001455,893110204800,DF000007,true,36,,,
P001456,VD-22899-15,DF000026,true,24,,,
P001457,893110043123,DF000026,true,24,,,
P001458,893110051723,DF000038,true,24,,,
P001459,VD-20448-14,DF000038,true,24,,,
P001460,893110415524,DF000026,true,24,,,
P001461,893110394224,DF000026,true,36,,,
P001462,QLÐB-486-15,DF000026,true,36,,,
P001463,893115886324,DF000026,true,36,,,
P001464,893110394224,DF000026,true,36,,,
P001465,868110003524,DF000026,true,24,,,
P001466,VN-20514-17,DF000026,true,36,,,
P001467,590110450325,DF000028,true,36,,,
P001468,893110030300,DF000026,true,36,,,
P001469,VN-23059-22,DF000007,true,24,,,
P001470,893110925224,DF000028,true,36,,,
P001471,VD-35475-21,DF000033,true,36,,,
P001472,VN-20106-13,DF000028,true,36,,,
P001473,893110229900,DF000007,true,36,,,
P001474,800110991624,DF000028,true,24,,,
P001475,VN-11235-10,DF000026,true,24,,,
P001476,893110042300,DF000033,true,36,,,
P001477,893115319823,DF000026,true,48,,,
P001478,VD-16298-12,DF000033,true,36,,,
P001479,VN-19455-15,DF000026,true,36,,,
P001480,VN-13740-11,DF000036,true,36,,,
P001481,VN-13352-11,DF000036,true,36,,,
P001482,VD-17947-12,DF000026,true,36,,,
P001483,520110132324,DF000026,true,36,,,
P001484,893110051424,DF000026,true,24,,,
P001485,VD-24618-16,DF000026,true,24,,,
P001486,899110399323,DF000038,true,24,,,
P001487,893110697524,DF000033,true,36,,,
P001488,893110462324,DF000033,true,36,,,
P001489,893114106923,DF000026,true,24,,,
P001490,893110184624,DF000033,true,36,,,
P001491,893115246800,DF000026,true,48,,,
P001492,VN-14768-12,DF000033,true,60,,,
P001493,VN-18404-14,DF000033,true,24,,,
P001494,VD-26559-17,DF000026,true,36,,,
P001495,800115179523,DF000026,true,60,,,
P001496,893110175625,DF000028,true,36,,,
P001497,893110095324,DF000033,true,36,,,
P001498,VN-20169-16,DF000026,true,24,,,
P001499,VN-16487-13,DF000028,true,24,,,
P001500,VN-17444-13,DF000005,true,24,,,
P001501,VN-20517-17,DF000026,true,24,,,
P001502,QLSP-875-15,DF000039,true,36,,,
P001503,893110315723,DF000033,true,36,,,
P001504,893110910524,DF000033,true,36,,,
P001505,893115102724,DF000026,true,60,,,
P001506,893110559024,DF000026,true,36,,,
P001507,893110598324,DF000040,true,48,,,
P001508,893110253500,DF000026,true,36,,,
P001509,890110087223,DF000026,true,36,,,
P001510,VD-30185-18,DF000028,true,36,,,
P001511,800115002200,DF000026,true,36,,,
P001512,893115184824,DF000026,true,48,,,
P001513,VD-23966-15,DF000007,true,60,,,
P001514,893110374023,DF000026,true,36,,,
P001515,890110415023,DF000026,true,24,,,
P001516,893115309724,DF000007,true,24,,,
P001517,893110598424,DF000026,true,24,,,
P001518,VN-22908-21,DF000028,true,24,,,
P001519,893110305300,DF000033,true,36,,,
P001520,893110836224,DF000026,true,36,,,
P001521,539110018823,DF000026,true,48,,,
P001522,893110429524,DF000026,true,24,,,
P001523,893115837124,DF000026,true,48,,,
P001524,VD-21785-14,DF000026,true,36,,,
P001525,893110202600,DF000038,true,36,,,
P001526,800110982024,DF000041,true,36,,,
P001527,VN-15983-12,DF000042,true,36,,,
P001528,VD-19658-13,DF000026,true,36,,,
P001529,893110176925,DF000033,true,36,,,
P001530,893110050400,DF000033,true,36,,,
P001531,893110040823,DF000026,true,36,,,
P001532,893110270900,DF000026,true,24,,,
P001533,890115014524,DF000026,true,36,,,
P001534,520110786824,DF000026,true,36,,,
P001535,890110016624,DF000026,true,36,,,
