variant_code,unit_code,price,currency,is_default,is_contact_price,conversion_factor
P000001-V1,UNIT000001,56000,đ,true,false,
P000002-V1,UNIT000001,148000,đ,true,false,
P000003-V1,UNIT000001,90000,đ,true,false,
P000004-V1,UNIT000001,49000,đ,true,false,
P000005-V1,UNIT000001,59000,đ,true,false,
P000006-V1,UNIT000001,19000,đ,true,false,
P000007-V1,UNIT000001,147000,đ,true,false,
P000008-V1,UNIT000001,79000,đ,true,false,
P000009-V1,UNIT000001,150000,đ,true,false,
P000010-V1,UNIT000001,49000,đ,true,false,
P000011-V1,UNIT000001,39000,đ,true,false,
P000012-V1,UNIT000001,75000,đ,true,false,
P000013-V1,UNIT000001,108000,đ,true,false,
P000014-V1,UNIT000001,102000,đ,true,false,
P000015-V1,UNIT000001,88000,đ,true,false,
P000016-V1,UNIT000001,83000,đ,true,false,
P000017-V1,UNIT000001,142000,đ,true,false,
P000018-V1,UNIT000001,205000,đ,true,false,
P000019-V1,UNIT000001,29000,đ,true,false,
P000020-V1,UNIT000001,19000,đ,true,false,
P000021-V1,UNIT000001,15000,đ,true,false,
P000022-V1,UNIT000001,10000,đ,true,false,
P000023-V1,UNIT000001,75000,đ,true,false,
P000024-V1,UNIT000002,90000,đ,true,false,
P000025-V1,UNIT000001,250000,đ,true,false,
P000026-V1,UNIT000001,18000,đ,true,false,
P000027-V1,UNIT000001,125000,đ,true,false,
P000028-V1,UNIT000001,89000,đ,true,false,
P000029-V1,UNIT000002,90000,đ,true,false,
P000030-V1,UNIT000001,72000,đ,true,false,
P000031-V1,UNIT000001,41000,đ,true,false,
P000032-V1,UNIT000001,62000,đ,true,false,
P000033-V1,UNIT000001,220000,đ,true,false,
P000034-V1,UNIT000001,6000,đ,true,false,
P000035-V1,UNIT000001,245000,đ,true,false,
P000036-V1,UNIT000001,248000,đ,true,false,
P000037-V1,UNIT000001,40000,đ,true,false,
P000038-V1,UNIT000001,29000,đ,true,false,
P000039-V1,UNIT000001,250000,đ,true,false,
P000040-V1,UNIT000001,79000,đ,true,false,
P000041-V1,UNIT000001,47000,đ,true,false,
P000042-V1,UNIT000001,58000,đ,true,false,
P000042-V2,UNIT000003,11600,đ,true,false,
P000043-V1,UNIT000004,240000,đ,true,false,
P000043-V2,UNIT000002,10000,đ,true,false,
P000044-V1,UNIT000004,240000,đ,true,false,
P000044-V2,UNIT000002,10000,đ,true,false,
P000045-V1,UNIT000001,40000,đ,true,false,
P000046-V1,UNIT000005,295000,đ,true,false,
P000047-V1,UNIT000005,195000,đ,true,false,
P000048-V1,UNIT000001,42000,đ,true,false,
P000049-V1,UNIT000004,168000,đ,true,false,
P000049-V2,UNIT000002,7000,đ,true,false,
P000050-V1,UNIT000001,40000,đ,true,false,
P000051-V1,UNIT000002,61500,đ,true,false,
P000052-V1,UNIT000002,130000,đ,true,false,
P000053-V1,UNIT000004,252000,đ,true,false,
P000053-V2,UNIT000002,10500,đ,true,false,
P000054-V1,UNIT000004,252000,đ,true,false,
P000054-V2,UNIT000002,10500,đ,true,false,
P000055-V1,UNIT000004,252000,đ,true,false,
P000055-V2,UNIT000002,10500,đ,true,false,
P000056-V1,UNIT000001,42000,đ,true,false,
P000057-V1,UNIT000001,164000,đ,true,false,
P000058-V1,UNIT000001,119000,đ,true,false,
P000058-V2,UNIT000003,11900,đ,true,false,
P000059-V1,UNIT000001,42000,đ,true,false,
P000060-V1,UNIT000002,138000,đ,true,false,
P000061-V1,UNIT000001,490000,đ,true,false,
P000062-V1,UNIT000005,168000,đ,true,false,
P000063-V1,UNIT000005,180000,đ,true,false,
P000064-V1,UNIT000001,65000,đ,true,false,
P000064-V2,UNIT000003,13000,đ,true,false,
P000065-V1,UNIT000001,129000,đ,true,false,
P000066-V1,UNIT000005,260000,đ,true,false,
P000067-V1,UNIT000001,42000,đ,true,false,
P000068-V1,UNIT000001,329000,đ,true,false,
P000069-V1,UNIT000001,115000,đ,true,false,
P000070-V1,UNIT000001,225000,đ,true,false,
P000070-V2,UNIT000006,37500,đ,true,false,
P000071-V1,UNIT000001,235000,đ,true,false,
P000072-V1,UNIT000001,500000,đ,true,false,
P000072-V2,UNIT000002,50000,đ,true,false,
P000073-V1,UNIT000001,36000,đ,true,false,
P000074-V1,UNIT000001,300000,đ,true,false,
P000075-V1,UNIT000001,300000,đ,true,false,
P000076-V1,UNIT000006,160000,đ,true,false,
P000077-V1,UNIT000001,194000,đ,true,false,
P000078-V1,UNIT000001,215000,đ,true,false,
P000079-V1,UNIT000001,125000,đ,true,false,
P000080-V1,UNIT000001,115000,đ,true,false,
P000081-V1,UNIT000001,115000,đ,true,false,
P000082-V1,UNIT000001,870000,đ,true,false,
P000083-V1,UNIT000005,180000,đ,true,false,
P000084-V1,UNIT000001,160000,đ,true,false,
P000085-V1,UNIT000001,60000,đ,true,false,
P000086-V1,UNIT000001,65000,đ,true,false,
P000087-V1,UNIT000001,45000,đ,true,false,
P000088-V1,UNIT000001,42000,đ,true,false,
P000089-V1,UNIT000001,256000,đ,true,false,
P000090-V1,UNIT000005,132000,đ,true,false,
P000090-V2,UNIT000006,33000,đ,true,false,
P000091-V1,UNIT000005,132000,đ,true,false,
P000091-V2,UNIT000006,33000,đ,true,false,
P000092-V1,UNIT000005,210000,đ,true,false,
P000093-V1,UNIT000001,150000,đ,true,false,
P000094-V1,UNIT000001,37000,đ,true,false,
P000095-V1,UNIT000001,79500,đ,true,false,
P000096-V1,UNIT000001,1200000,đ,true,false,
P000097-V1,UNIT000001,67000,đ,true,false,
P000098-V1,UNIT000001,85000,đ,true,false,
P000099-V1,UNIT000001,155000,đ,true,false,
P000100-V1,UNIT000001,85000,đ,true,false,
P000101-V1,UNIT000001,140000,đ,true,false,
P000102-V1,UNIT000005,230000,đ,true,false,
P000103-V1,UNIT000001,110000,đ,true,false,
P000104-V1,UNIT000001,228000,đ,true,false,
P000104-V2,UNIT000007,38000,đ,true,false,
P000105-V1,UNIT000001,99000,đ,true,false,
P000106-V1,UNIT000005,120000,đ,true,false,
P000106-V2,UNIT000002,12000,đ,true,false,
P000107-V1,UNIT000002,196000,đ,true,false,
P000108-V1,UNIT000001,73000,đ,true,false,
P000109-V1,UNIT000001,74000,đ,true,false,
P000110-V1,UNIT000001,73000,đ,true,false,
P000110-V2,UNIT000008,730,đ,true,false,
P000111-V1,UNIT000004,324000,đ,true,false,
P000111-V2,UNIT000002,13500,đ,true,false,
P000112-V1,UNIT000009,21000,đ,true,false,
P000113-V1,UNIT000001,27000,đ,true,false,
P000113-V2,UNIT000009,540,đ,true,false,
P000114-V1,UNIT000001,90000,đ,true,false,
P000114-V2,UNIT000009,7500,đ,true,false,
P000115-V1,UNIT000009,21000,đ,true,false,
P000116-V1,UNIT000001,40000,đ,true,false,
P000117-V1,UNIT000006,31000,đ,true,false,
P000118-V1,UNIT000006,31000,đ,true,false,
P000119-V1,UNIT000001,300000,đ,true,false,
P000119-V2,UNIT000009,15000,đ,true,false,
P000120-V1,UNIT000001,300000,đ,true,false,
P000120-V2,UNIT000009,15000,đ,true,false,
P000121-V1,UNIT000001,300000,đ,true,false,
P000121-V2,UNIT000009,15000,đ,true,false,
P000122-V1,UNIT000001,430000,đ,true,false,
P000123-V1,UNIT000001,430000,đ,true,false,
P000124-V1,UNIT000001,390000,đ,true,false,
P000125-V1,UNIT000001,24500,đ,true,false,
P000125-V2,UNIT000003,4900,đ,true,false,
P000126-V1,UNIT000001,24500,đ,true,false,
P000126-V2,UNIT000003,4900,đ,true,false,
P000127-V1,UNIT000006,31000,đ,true,false,
P000128-V1,UNIT000010,105000,đ,true,false,
P000129-V1,UNIT000005,180000,đ,true,false,
P000130-V1,UNIT000001,55000,đ,true,false,
P000131-V1,UNIT000001,55000,đ,true,false,
P000132-V1,UNIT000001,55000,đ,true,false,
P000133-V1,UNIT000001,56000,đ,true,false,
P000133-V2,UNIT000009,560,đ,true,false,
P000134-V1,UNIT000001,56000,đ,true,false,
P000134-V2,UNIT000009,2200,đ,true,false,
P000135-V1,UNIT000001,28500,đ,true,false,
P000135-V2,UNIT000008,950,đ,true,false,
P000136-V1,UNIT000001,50000,đ,true,false,
P000136-V2,UNIT000008,500,đ,true,false,
P000137-V1,UNIT000009,29000,đ,true,false,
P000138-V1,UNIT000009,29000,đ,true,false,
P000139-V1,UNIT000009,29000,đ,true,false,
P000140-V1,UNIT000009,29000,đ,true,false,
P000141-V1,UNIT000009,29000,đ,true,false,
P000142-V1,UNIT000009,29000,đ,true,false,
P000143-V1,UNIT000001,55000,đ,true,false,
P000144-V1,UNIT000009,29000,đ,true,false,
P000145-V1,UNIT000011,33000,đ,true,false,
P000146-V1,UNIT000001,38000,đ,true,false,
P000147-V1,UNIT000001,32000,đ,true,false,
P000148-V1,UNIT000001,32000,đ,true,false,
P000149-V1,UNIT000001,420000,đ,true,false,
P000150-V1,UNIT000009,55000,đ,true,false,
P000151-V1,UNIT000009,18000,đ,true,false,
P000152-V1,UNIT000009,23000,đ,true,false,
