variant_code,product_code,sku,unit_code,packaging_size,is_default,is_sell_default
P000001-V1,P000001,00040809,UNIT000001,Hộp 3 Cái,true,true
P000002-V1,P000002,00503158,UNIT000001,Hộp 12 Cái,true,true
P000003-V1,P000003,00503128,UNIT000001,Hộp 10 Cái,true,true
P000004-V1,P000004,00500214,UNIT000001,Hộp 10 Cái,true,true
P000005-V1,P000005,00500212,UNIT000001,Hộp 12 Cái,true,true
P000006-V1,P000006,00500211,UNIT000001,Hộp 3 Cái,true,true
P000007-V1,P000007,00040811,UNIT000001,Hộp 3 Cái,true,true
P000008-V1,P000008,00040808,UNIT000001,Hộp 10 Cái,true,true
P000009-V1,P000009,00503157,UNIT000001,Hộp 1 Cái,true,true
P000010-V1,P000010,00500210,UNIT000001,Hộp 12 Cái,true,true
P000011-V1,P000011,00500208,UNIT000001,Hộp 12 Cái,true,true
P000012-V1,P000012,00018655,UNIT000001,Hộp 5 Cái,true,true
P000013-V1,P000013,00045246,UNIT000001,Hộp 10 Cái,true,true
P000014-V1,P000014,00045245,UNIT000001,Hộp 10 Cái,true,true
P000015-V1,P000015,00045244,UNIT000001,Hộp 10 Cái,true,true
P000016-V1,P000016,00045243,UNIT000001,Hộp 3 Cái,true,true
P000017-V1,P000017,00045242,UNIT000001,Hộp 2 Cái,true,true
P000018-V1,P000018,00040810,UNIT000001,Hộp 10 Cái,true,true
P000019-V1,P000019,00040807,UNIT000001,Hộp 3 Cái,true,true
P000020-V1,P000020,00500213,UNIT000001,Hộp 3 Cái,true,true
P000021-V1,P000021,00500209,UNIT000001,Hộp 3 Cái,true,true
P000022-V1,P000022,00500207,UNIT000001,Hộp 3 Cái,true,true
P000023-V1,P000023,00018654,UNIT000001,Hộp 5 Cái,true,true
P000024-V1,P000024,00010731,UNIT000002,Chai x 50g,true,true
P000025-V1,P000025,00010242,UNIT000001,Hộp 10 Cái,true,true
P000026-V1,P000026,00008408,UNIT000001,Hộp 12 Cái,true,true
P000027-V1,P000027,00008380,UNIT000001,Hộp 12 Cái,true,true
P000028-V1,P000028,00008379,UNIT000001,Hộp 3 Cái,true,true
P000029-V1,P000029,00002674,UNIT000002,Chai x 50ml,true,true
P000030-V1,P000030,00002672,UNIT000001,Hộp 3 Cái,true,true
P000031-V1,P000031,00002669,UNIT000001,Hộp 3 Cái,true,true
P000032-V1,P000032,00002664,UNIT000001,Hộp 3 Cái,true,true
P000033-V1,P000033,00008372,UNIT000001,Hộp 12 Cái,true,true
P000034-V1,P000034,00005500,UNIT000001,Hộp 3 Cái,true,true
P000035-V1,P000035,00002671,UNIT000001,Hộp 12 Cái,true,true
